Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Dividend yield,From 52w high,Down from 52w high,Up from 52w low,Return over 1year
Norben Tea,519528,NORBTEAEXP,Tea,11.95,14.03,0,0.75,25.08,73.19,50.96
Vamshi Rubber,530369,,Miscellaneous,36.35,15.31,0,0.86,13.56,70.02,50.96
Indostar Capital,541336,INDOSTAR,Finance & Investments,231.15,3145.45,0,0.83,17.45,63.94,51.02
ZF Commercial,533023,ZFCVINDIA,Auto Ancillaries,17431.7,33050.55,0.08,0.98,2.07,65.94,51.03
G V Films,523277,,Entertainment / Electronic Media Software,0.71,64.92,0,0.59,40.83,77.5,51.06
Golden Carpets,531928,,Textiles - Products,12.39,8.04,0,1,0,59.05,51.1
Guj. Inject(Ker),524238,,Pharmaceuticals - Indian - Formulations,16.1,23.58,0,0.96,4.17,139.58,51.17
Batliboi,522004,,Engineering,119.1,408.64,0,0.73,26.78,93.66,51.23
Coral India Fin.,531556,CORALFINAC,Finance - Housing,47,189.42,0.64,0.63,36.91,50.83,51.26
Steel City Sec.,,STEELCITY,Finance & Investments,90.15,136.21,3.31,0.82,17.82,48.89,51.26
MPS Pharmaa,531686,,Pharmaceuticals - Indian - Formulations,3.33,6.36,0,1,0,51.36,51.36
Blu.Coast Hotel.,531495,BLUECOAST,Hotels,6.04,7.7,0,0.64,36.42,76.09,51.38
Interworld Digi.,532072,,Computers - Software - Medium / Small,0.53,25.35,0,0.93,7.02,76.67,51.43
Glenmark Life,543322,GLS,Pharmaceuticals - Indian - Bulk Drugs & Formln,831,10182.03,2.69,0.92,8.28,56.44,51.49
Triton Corp.,523387,,Computers - Software - Medium / Small,0.5,9.99,0,1,0,56.25,51.52
TD Power Systems,533553,TDPOWERSYS,Electric Equipment,334.7,5227,0.15,0.93,7.29,62.32,51.61
IDBI Bank,500116,IDBI,Banks - Private Sector,85.57,92008.32,1.16,0.87,13.3,61.24,51.63
Cella Space,532701,,Miscellaneous,13,26.19,0,0.93,7.41,69.05,51.7
Galaxy Agrico,531911,,Castings & Forgings,42.99,11.74,0,0.81,19.33,108.18,51.71
Indian Sucrose,500319,,Sugar,96.32,167.37,0,0.79,20.81,68.98,51.73
Triveni Turbine,533655,TRITURBINE,Electric Equipment,587.55,18676.85,0.22,0.9,10.22,88.41,51.77
Oriental Trimex,532817,ORIENTALTL,Trading,9.9,29.1,0,0.69,31.49,92.23,51.88
Gokul Agro,539725,GOKULAGRO,Solvent Extraction,148.95,2197.65,0,0.9,10.14,56.79,51.99
Kirl. Ferrous,500245,,Steel - Pig Iron,685.8,9558.18,0.85,0.93,7.25,71.45,52
Den Networks,533137,DEN,Entertainment / Electronic Media Software,49.28,2351.77,0,0.71,28.99,54.87,52.01
Axel Polymers,513642,,Plastics Products,69.8,59.45,0,0.92,8.16,69.38,52.02
Cipla,500087,CIPLA,Pharmaceuticals - Indian - Bulk Drugs & Formln,1451.25,117173.18,0.58,0.96,4.46,52.03,52.02
GTPL Hathway,540602,GTPL,Entertainment / Electronic Media Software,164.05,1844.93,2.45,0.75,24.68,52.6,52.06
Surya Roshni,500336,SURYAROSNI,Steel - Large,580.4,6315.82,1.03,0.69,31.04,59.31,52.12
Sri Lak.Sar.Arni,521161,,Textiles - Cotton/Blended,44.1,14.68,0,0.76,23.97,66.23,52.13
Kachchh Minerals,531778,,Mining / Minerals / Metals,31,16.42,0,0.7,30.42,66.13,52.14
Innovators,541353,,Construction,183,345.27,0,0.63,36.57,59.06,52.15
Mah. Seamless,500265,MAHSEAMLES,Steel - Medium / Small,659.2,8832.71,0.73,0.6,40.02,48.33,52.22
Indiabulls Enter,543715,IEL,Miscellaneous,11.9,236.02,0,0.78,21.71,53.55,52.23
Vardhman Concr.,531444,,Cement Products,8.68,6.21,0,0.59,40.95,48.38,52.28
United Textiles,521188,,Textiles - Cotton/Blended,20.56,6.17,0,0.93,6.55,92.15,52.3
Lee & Nee Soft.,517415,,Computers - Software - Medium / Small,10.76,60.02,0,0.71,28.74,63.03,52.3
Centum Electron,517544,CENTUM,Electronics - Components,1747,2251.62,0.23,0.83,16.77,64.73,52.32
Grauer & Weil,505710,,Chemicals,80.38,3644.54,0.51,0.76,23.99,55.17,52.39
Trio Merc. Trad.,534755,,Trading,1,6.8,0,0.81,18.7,81.82,52.46
Aarti Pharma,543748,AARTIPHARM,Pharmaceuticals - Indian - Bulk Drugs & Formln,562.05,5093.65,0.36,0.88,12.04,75.48,52.57
Manaksia Steels,539044,MANAKSTEEL,Steel - Medium / Small,55.47,363.52,0,0.52,48.21,53.02,52.59
Uniroyal Ind,521226,,Textiles - Products,21.32,17.64,0,0.58,42.07,93.82,52.59
OTCO Intl,523151,,Miscellaneous,6.82,8.84,0,0.73,27.37,48.26,52.61
Euro Panel,,EUROBOND,Aluminium and Aluminium Products,187,458.15,0,0.92,8.29,66.96,52.65
Nikki Glob.Fin.,531272,,Finance & Investments,10.99,3.76,0,0.86,14.41,93.15,52.69
PG Electroplast,533581,PGEL,Electronics - Components,2586.65,6732.05,0,0.97,3.49,80.12,52.7
UFO Moviez,539141,UFO,Entertainment / Electronic Media Software,118.05,455.44,0,0.68,32.16,59.42,52.71
Natl.Fertilizer,523630,NFL,Fertilizers,102.4,5023.49,2.73,0.78,21.53,57.42,52.73
NGL Fine Chem,524774,NGLFINE,Pharmaceuticals - Indian - Bulk Drugs,2230.05,1378.16,0.08,0.79,21.03,56.14,52.82
Capricorn System,512169,,Computers - Software - Medium / Small,15.19,6.06,0,0.97,2.75,117,52.84
Shree Rama News.,500356,RAMANEWS,Miscellaneous,19.74,291.23,0,0.81,19.03,77.04,52.85
R C F,524230,RCF,Fertilizers,154.05,8498.81,3.45,0.81,18.92,50.07,52.88
SEAMEC Ltd,526807,SEAMECLTD,Shipping,1052.85,2676.83,0.11,0.85,15.09,79.54,52.9
Windsor Machines,522029,WINDMACHIN,Engineering,74.8,485.71,1.32,0.71,28.66,60.86,52.93
South Ind.Bank,532218,SOUTHBANK,Banks - Private Sector,26.95,7050.2,1.13,0.73,26.94,65.74,52.94
Paos Industries,530291,,Solvent Extraction,15.64,9.54,0,1,0.32,82.71,52.98
Shelter Infra,526839,,Miscellaneous,11.92,4.25,0,0.8,20.16,125.33,53.01
G M Polyplast,543239,,Plastics Products,180,242.28,0.28,0.84,16.47,69.81,53.03
Niraj Cement,532986,NIRAJ,Construction,44.61,179.12,0,0.69,31.37,62.51,53.11
Stovec Inds.,504959,,Textile Machinery,3160,660.46,3.62,0.72,27.72,54.15,53.19
Trans India,523752,,Trading,27.89,99.1,0,0.62,37.95,61.68,53.22
IFB Industries,505726,IFBIND,Domestic Appliances,1188.1,4814.21,0,0.69,30.97,50.19,53.25
Cineline India,532807,CINELINE,Entertainment / Electronic Media Software,123.15,421.98,0,0.66,33.79,75.93,53.27
Dollar Industrie,541403,DOLLAR,Textiles - Products,568.55,3224.6,0.51,0.86,13.87,58.81,53.4
ABC India,520123,,Miscellaneous,111.3,60.28,0.44,0.69,30.73,58.55,53.41
Vista Pharma.,524711,,Pharmaceuticals - Indian - Formulations,13.24,51.39,0,0.67,32.79,63.05,53.43
Maruti Infra.,531540,,Construction,175.75,219.69,0,0.88,11.68,77.53,53.47
Sh. Hari Chem.,524336,,Dyes And Pigments,69.2,30.79,0,0.61,39.34,64.76,53.48
MPS,532440,MPSLTD,Computers - Software - Medium / Small,1738,2973.02,1.7,0.92,7.8,75.56,53.48
Nalwa Sons Invst,532256,NSIL,Finance & Investments,3417.25,1756.49,0,0.88,11.93,65.08,53.48
Mrs Bectors,543253,BECTORFOOD,Food - Processing - Indian,1248.9,7361.02,0.25,0.91,9.1,66.29,53.51
Raj Oil Mills,533093,ROML,Solvent Extraction,55,164.87,0,0.66,33.89,56.7,53.53
Aban Offshore,523204,ABAN,Oil Drilling / Allied Services,60.59,353.63,0,0.65,35.2,57.75,53.61
SIL Investments,521194,SILINV,Finance & Investments,471.15,499.42,0.53,0.81,18.73,58.42,53.64
Indiabulls Hous.,535789,IBULHSGFIN,Finance - Housing,157.5,9344.41,0.78,0.75,24.8,62.1,53.7
Usha Martin,517146,USHAMART,Steel - Medium / Small,364.3,11101.75,0.7,0.92,7.68,58.39,53.72
Mangalam Industr,537800,,Finance & Investments,4.12,447.2,0,0.59,40.89,73.11,53.73
L G Balakrishnan,500250,LGBBROSLTD,Auto Ancillaries,1237.65,3885.31,1.32,0.87,13.15,59.07,53.81
RKEC Projects,,RKEC,Construction,85.55,205.24,0,0.71,29,66.28,53.85
Cinevista,532324,CINEVISTA,Entertainment / Electronic Media Software,18.2,103.45,0,0.72,27.92,54.89,53.91
Response Info.,538273,,Computers - Software - Medium / Small,71.11,53.16,0,0.75,24.7,146.23,53.92
Gajanan Sec.Serv,538609,,Finance & Investments,74.95,23.25,0,1,0.07,146.79,54.06
Transgene Biotek,526139,,Miscellaneous,6.34,48.02,0,0.51,49.12,75.14,54.07
Century Enka,500280,CENTENKA,Textiles - Manmade,600.2,1311.43,1.71,0.9,9.61,58.89,54.09
BKV Industries,519500,,Aquaculture,14.3,22.08,0,0.85,14.68,85.71,54.1
Tainwala Chem.,507785,TAINWALCHM,Plastics Products,170.1,159.21,0,0.78,21.95,60.47,54.18
Vascon Engineers,533156,VASCONEQ,Construction,62.7,1387.66,0.4,0.67,32.69,59.75,54.3
Eco Hotels,514402,,Hotels,49.92,156.45,0,0.9,9.53,222.69,54.33
B & A Packaging,523186,,Packaging,268,132.92,0.57,0.94,6.29,57.42,54.36
Sashwat Technoc,506313,,Construction,166.75,5.17,0,1,0,47.18,54.4
Prime Urban,521149,,Construction,9.95,26.51,0,0.71,28.93,46.76,54.42
Riba Textiles,531952,,Textiles - Products,72.6,70.06,0,0.77,23.5,60.62,54.46
Rex Pipes&Cables,,REXPIPES,Plastics Products,68.3,64.54,0,0.76,24.45,67.4,54.57
Bombay Burmah,501425,BBTC,Auto Ancillaries,1471.45,10266.55,0.08,0.8,20.03,57.6,54.64
Prakash Woollen,531437,,Textiles - Products,35.53,36.47,0,0.81,18.88,60.77,54.65
Kellton Tech,519602,KELLTONTEC,Computers - Software - Medium / Small,96.45,939.42,0,0.75,24.91,65.58,54.71
Loyal Equipments,539227,,Engineering,176,179.52,0,0.68,32.31,67.62,54.83
Ecofinity Ato,539455,,Trading,38.99,15.01,0,1,0,54.85,54.85
Konark Synth,514128,,Textiles - Processing,20.1,11.68,0,0.77,23.17,91.61,54.89
Tata Steel,500470,TATASTEEL,Steel - Large,167.15,208662.13,2.18,0.94,6.1,57.24,54.93
FDC,531599,FDC,Pharmaceuticals - Indian - Bulk Drugs & Formln,435.3,7087.17,0,0.89,11.38,50.18,54.97
Abate As Indust,531658,,Trading,27.34,13.72,0,1,0,54.99,54.99
Oricon Enterpris,513121,ORICONENT,Packaging,36,565.37,1.38,0.73,27.04,67.83,55.05
Samyak Internati,530025,,Trading,29.79,18.61,0,0.85,14.89,85.61,55.05
Uno Minda,532539,UNOMINDA,Auto Ancillaries,848.7,48718.64,0.17,0.91,8.64,55.71,55.06
Arvind Fashions.,542484,ARVINDFASN,Trading,441.55,5880.67,0.23,0.83,17.31,54.98,55.16
Genesys Intl.,506109,GENESYS,Computers - Software - Medium / Small,515,2030.7,0,0.7,30.31,93.61,55.2
Cams Services,543232,CAMS,Miscellaneous,3485,17143.74,1.05,0.96,4.16,63.46,55.22
Jayshree Chem.,506520,,Trading,9.3,27.28,0,0.68,32.36,67.27,55.28
Nyssa Corp.,504378,,Finance & Investments,6.1,18.3,0,0.54,46.3,82.09,55.28
Rajshree Sugars,500354,RAJSREESUG,Sugar,60,198.8,0,0.59,41.15,64.16,55.39
Smiths & Founder,513418,,Castings & Forgings,5.21,53.15,0,0.79,21.42,66.99,55.42
MIRC Electronics,500279,MIRCELECTR,Electronics - Consumer,20.4,471.13,0,0.66,33.51,78.17,55.43
Future Market,533296,FMNL,Miscellaneous,7.51,43.21,0,0.68,31.73,74.25,55.43
Ausom Enter.,509009,AUSOMENT,Finance & Investments,94.95,129.33,0.53,0.7,30.06,63.28,55.45
Sumuka Agro,532070,,Trading,160,113.72,0,0.75,24.53,62.44,55.47
MRO-TEK Realty,532376,MRO-TEK,Construction,81.9,153.01,0,0.7,29.52,60.27,55.5
Indl. Inv. Trust,501295,IITL,Finance & Investments,155,349.47,0,0.54,45.6,63.93,55.61
Anjani Synth.,531223,,Textiles - Processing,41.24,60.85,0,0.83,17.35,52.74,55.62
Dishman Carbogen,540701,DCAL,Pharmaceuticals - Indian - Bulk Drugs & Formln,162.1,2541.48,0,0.57,42.72,34.52,55.68
Orient Cement,535754,ORIENTCEM,Cement - South India,207.2,4244.87,0.71,0.71,29.46,65.63,55.71
Orient Ceratech,504879,ORIENTCER,Abrasives And Grinding Wheels,43.85,524.62,0.58,0.61,39.43,59.45,55.79
Tulsyan NEC,513629,,Steel - Medium / Small,82.95,124.43,0,0.66,34.04,48.52,55.92
Kashyap TeleMed.,531960,,Computers - Software - Medium / Small,2.17,10.36,0,0.78,22.5,63.16,56.12
Addi Industries,507852,,Textiles - Products,53.1,57.33,2.35,0.75,24.87,81.04,56.15
Wendt India,505412,WENDT,Abrasives And Grinding Wheels,14740,2948,0.55,0.92,7.82,62.16,56.15
India Cem. Cap.,511355,,Finance & Investments,18.5,40.17,0,0.7,30,75.69,56.23
India Power Corp,,DPSCLTD,Power Generation And Supply,17.05,1660.3,0.29,0.61,39.22,54.3,56.36
Pokarna,532486,POKARNA,Miscellaneous,533.2,1653.1,0.11,0.87,12.59,51.91,56.38
Spacenet Enterpr,,SPCENET,Trading,25.9,1422.51,0,0.66,34.26,68.73,56.43
Kamdhenu Venture,543747,KAMOPAINTS,Trading,164.9,1036.75,0,0.67,32.69,56.82,56.47
IND Renewable,536709,,Power Generation And Supply,16.35,22.76,0,0.61,39.08,67.52,56.53
Sangam India,514234,SANGAMIND,Textiles - Spinning - Synthetic / Blended,357.35,1795.56,0.57,0.57,43.27,55.1,56.69
Rajkot Inv.Trust,539495,,Finance & Investments,40.75,4.08,0,0.67,32.6,70.93,56.73
Gufic BioScience,509079,GUFICBIO,Pharmaceuticals - Indian - Bulk Drugs & Formln,307.4,3082.53,0.03,0.84,15.76,60.1,56.76
Kapil Raj Financ,539679,,Finance & Investments,27,29.54,0,0.91,8.78,93.97,56.86
Lumax Auto Tech.,532796,LUMAXTECH,Auto Ancillaries,488.45,3329.17,0.92,0.95,5.16,57.9,56.93
Sh. Karthik Pap.,516106,,Paper,10.11,19.32,0,0.63,36.73,67.11,56.95
JSW Holdings,532642,JSWHL,Finance & Investments,6600,7326.02,0,0.88,11.89,59.95,57.1
HFCL,500183,HFCL,Engineering - Turnkey Services,103.6,14946.12,0.2,0.88,12.05,68.46,57.16
GCM Capital,538319,,Finance & Investments,5.88,9.96,0,0.51,49.09,89.68,57.22
Pearl Polymers,523260,PEARLPOLY,Trading,34.56,58.19,0,0.71,28.67,81.89,57.34
Parnax Lab,506128,,Pharmaceuticals - Indian - Formulations,97.4,111.9,0,0.58,41.99,77.09,57.38
Dolfin Rubbers,542013,,Tyres,206,206.67,0.54,0.85,14.88,94.34,57.38
Pritika Auto,539359,PRITIKAUTO,Auto Ancillaries,25.83,414.31,0,0.48,52.46,59.94,57.4
Shiva Granito,540072,,Mining / Minerals / Metals,14.2,18.77,0,0.89,11.25,186.29,57.43
Digicontent,542685,DGCONTENT,Entertainment / Electronic Media Software,24.5,142.56,0,0.85,15.11,74.25,57.56
Gayatri Projects,532767,GAYAPROJ,Construction,7.8,146.01,0,0.72,28.11,51.46,57.58
Morganite Crucib,523160,,Refractories / Intermediates,1520,851.2,1.83,0.85,14.82,61.7,57.62
Davangere Sugar,543267,DAVANGERE,Sugar,10.64,1001.01,0,0.89,11.41,77.33,57.64
Pecos Hotels,539273,,Hotels,121.05,15.86,2.47,0.81,19.03,60.86,57.67
BPL,500074,BPL,Electronics - Components,94,460.32,0,0.74,26.27,61.37,57.72
CARE Ratings,534804,CARERATING,Miscellaneous,1009,3013.68,1.78,0.8,20.24,54.99,57.78
Advani Hotels.,523269,ADVANIHOTR,Hotels,67.35,622.65,3.6,0.73,26.51,71.37,57.82
MMP Industries,,MMP,Aluminium and Aluminium Products,266.85,677.83,0.38,0.86,13.89,62.66,57.83
I R C T C,542830,IRCTC,Travel Agencies,1021.7,81736,0.55,0.89,11.02,66.31,57.87
Greenply Industr,526797,GREENPLY,Miscellaneous,254.5,3148.14,0.19,0.89,10.59,70.98,57.89
Emami,531162,EMAMILTD,Personal Care - Indian,624.15,27244.16,1.28,0.97,3.29,68.23,57.96
Cons. Finvest,,CONSOFINVT,Finance & Investments,206.8,669.3,0,0.6,40.39,65.44,57.98
Jet Infraventure,538794,,Construction,21.36,8.94,0,1,0,175.26,58
Ingersoll-Rand,500210,INGERRAND,Compressors / Drilling Equipment,4348.9,13728.56,1.17,0.87,13.02,61.66,58.05
The Invest.Trust,530023,THEINVEST,Finance & Investments,138.5,723.54,0,0.81,19.41,86.91,58.27
Amalgamated Elec,501622,,Miscellaneous,58.97,16.38,0,0.53,46.98,109.71,58.34
Veerhealth Care,511523,,Pharmaceuticals - Indian - Formulations,19.7,39.4,0,0.65,34.55,58.36,58.37
Vedanta,500295,VEDL,Mining / Minerals / Metals,449.8,167199.91,6.62,0.89,11.26,116.41,58.5
Bihar Sponge,500058,,Steel - Sponge Iron,14.4,129.9,0,0.64,35.83,79.78,58.53
ISMT,532479,ISMTLTD,Steel - Medium / Small,114.85,3451.21,0.43,0.86,14.26,68.4,58.56
Hind.Natl.Glass,515145,HINDNATGLS,Glass & Glass Products,17.45,156.27,0,0.68,32.23,65.4,58.64
Maiden Forgings,543874,,Steel - Medium / Small,92.65,131.65,0,0.67,33.2,51.89,58.73
Stanpacks(India),530931,,Packaging,12.7,7.75,0,0.89,10.88,124.38,58.75
Epic Energy,530407,,Electric Equipment,10.68,7.7,0,0.77,22.55,85.74,58.79
CHL,532992,,Hotels,34,186.4,0,0.71,28.8,99.88,58.87
Modi's Navnirman,543539,,Construction,270,515.46,0.37,0.91,9.38,69.01,58.87
Deep Energy,532760,DEEPENR,Oil Drilling / Allied Services,170.3,544.96,0,0.71,28.67,61.88,58.91
Mitshi India,523782,,Trading,21,18.49,0,0.57,43.06,68.54,58.96
Chennai Meena,523489,,Healthcare,33.09,24.72,0,0.61,39.45,65.45,59.08
Milestone Global,531338,,Miscellaneous,28.25,14.17,0,0.81,18.96,129.49,59.15
Samrat Forgings,543229,,Castings & Forgings,291,145.5,0,0.51,49.39,58.97,59.19
Nuway Organic,531819,,Trading,26.75,25.65,0,0.97,3.01,62.52,59.23
Supra Pacific,540168,,Finance & Investments,31.95,85.32,0,0.88,12.47,87.83,59.28
Star Cement,540575,STARCEMENT,Cement - North India,214.35,8663.62,0,0.84,16.27,59.55,59.37
Saffron Industri,531436,,Paper,6.93,4.99,0,0.75,24.92,144.01,59.42
BEML Land Assets,543898,BLAL,Construction,257.3,1071.47,0,0.68,31.83,89.19,59.51
Munjal Auto Inds,520059,MUNJALAU,Auto Ancillaries,80.35,803.5,2.48,0.7,30.35,64.65,59.56
Capital Trade Lk,538476,,Finance & Investments,36.25,221.03,0,0.68,32.27,85.8,59.7
VLS Finance,511333,VLSFINANCE,Finance & Investments,254.75,886.42,0.6,0.79,20.93,74.25,59.83
Intec Capital,526871,,Finance & Investments,30.82,56.6,0,0.86,14.01,104.51,59.88
Mehta Integrat.,511377,,Finance & Investments,31.5,15.75,0,0.83,16.93,74.52,59.9
Suryo Foods,519604,,Aquaculture,15.47,6.12,0,0.69,30.53,137.63,59.98
Minaxi Textiles,531456,,Textiles - Processing,2.47,12.21,0,0.57,43.22,104.13,60
Vision Cinemas,526441,,Entertainment / Electronic Media Software,1.37,9.7,0,0.54,46.27,82.67,60
AMJ Land Holdin.,500343,AMJLAND,Construction,38.96,159.75,0.53,0.85,14.84,67.21,60.04
ISGEC Heavy,533033,ISGEC,Engineering - Turnkey Services,1070.75,7873.11,0.31,0.86,14.13,80.14,60.05
Anik Industries,519383,ANIKINDS,Construction,47.31,131.27,0,0.72,27.55,59.03,60.06
Shree Pacetronix,527005,,Healthcare,216.25,77.83,0,0.55,44.82,56.7,60.17
Thakkers Develp.,526654,,Construction,180.7,162.64,0,0.66,34.27,53.2,60.19
H. S. India,532145,,Hotels,18.12,29.43,0,0.87,13.05,79.23,60.21
Hi-Tech Pipes,543411,HITECH,Steel - Medium / Small,122.6,1760.34,0.02,0.72,27.99,72.68,60.24
Maitri Enterp.,513430,,Trading,32.72,14.4,0,0.79,21.1,62.79,60.27
Vertex Secur.,531950,,Finance & Investments,3.98,29.45,0,0.73,27.37,85.12,60.34
RDB Rasayans,533608,,Packaging,128,226.69,0,0.69,30.81,68.42,60.35
Kretto Syscon,531328,,Construction,0.88,13.81,0,0.75,24.79,104.65,60.38
Billwin Indust.,543209,,Textiles - Products,46.6,19.86,0,0.66,33.55,72.02,60.41
Quest Capital,500069,,Finance & Investments,370,370,0.69,0.84,15.71,54.17,60.42
Aarey Drugs,524412,AAREYDRUGS,Pharmaceuticals - Indian - Bulk Drugs,46.62,118.56,0,0.69,31.44,58.3,60.47
Laxmi Cotspin,,LAXMICOT,Textiles - Cotton/Blended,30.15,51.7,0,0.78,22.29,62.97,60.47
Dhampur.Spl.Sug.,531923,,Sugar,88.05,69.83,0,0.76,24.28,109.64,60.6
Fine Line Cir.,517264,,Electronics - Components,89.3,42.95,0,0.86,13.71,144.66,60.61
Mahamaya Steel,513554,MAHASTEEL,Steel - Medium / Small,104.35,171.5,0,0.72,27.76,65.9,60.66
D & H India,517514,,Electrodes - Welding Equipment,105,85.97,0,0.78,22.16,81.03,60.69
Alufluoride,524634,,Chemicals,513,401.18,0.4,0.87,12.61,62.57,60.7
AGI Infra,539042,,Construction,878,1072.62,0.13,0.78,21.96,67.24,60.74
Zensar Tech.,504067,ZENSARTECH,Computers - Software - Medium / Small,609.3,13810.11,0.82,0.92,8.05,62.05,60.78
Kaizen Agro,538833,,Trading,19.58,100.68,0,0.8,20.37,92.34,60.8
Jindal Leasefin,539947,,Finance & Investments,60.75,18.28,0,0.99,1.09,116.81,60.85
Career Point,533260,CAREERP,Miscellaneous,375.9,683.88,0.8,0.85,15.25,115.11,60.86
Affordable Robo.,541402,,Engineering,629.25,707.62,0,0.74,26.07,77.42,60.86
Nexus Surgical,538874,,Trading,16.1,8.8,0,0.92,7.74,98.77,61
Bhandari Hosiery,512608,BHANDARI,Textiles - Products,7.73,126.35,0.13,0.62,38.11,100.26,61.09
Kirl. Electric,533193,KECL,Electric Equipment,183.35,1217.7,0,0.77,22.86,90.3,61.09
Asia Pack,530899,,Construction,53.24,14.06,0,0.9,9.76,90.48,61.23
Hariyana Ship,526931,,Miscellaneous,108.5,66.95,0,0.74,25.68,58.28,61.29
Alps Industries,530715,ALPSINDUS,Textiles - Products,3.47,13.57,0,0.84,15.57,111.59,61.36
Gillette India,507815,GILLETTE,Personal Care - Multinational,7075,23057.43,1.21,0.96,3.55,60.82,61.4
Williamson Fin.,519214,,Finance & Investments,7.7,6.44,0,0.91,9.31,139.88,61.43
Vadilal Inds.,519156,VADILALIND,Food - Processing - Indian,4351.5,3128.72,0.04,0.85,15.39,103.99,61.44
Almondz Global,531400,ALMONDZ,Finance & Investments,117.95,316.23,0,0.78,22.25,75.97,61.46
Yamini Invest,511012,,Finance & Investments,1.03,54.13,0,0.67,33.12,71.67,61.54
Tilak Ventures,503663,,Finance & Investments,5.76,128.33,0,0.61,39.24,80,61.63
Container Corpn.,531344,CONCOR,Miscellaneous,1074.55,65471.65,1.02,0.96,4.4,70.78,61.66
Stephanotis Fin.,512215,,Finance & Investments,42.85,27.64,0,0.77,22.88,107,61.7
Shalimar Wires,532455,,Textiles - Products,21.79,93.17,0,0.72,28.09,74.32,61.75
Shilp Gravures,513709,,Mining / Minerals / Metals,150.7,92.7,1.38,0.72,27.55,66.13,61.77
COSYN,538922,,Computers - Software - Medium / Small,41.25,30.95,0,0.78,21.73,67.34,61.78
Jindal Capital,530405,,Finance & Investments,36,25.95,0,0.75,24.97,100,61.84
